restaurant_name,rating,average_price,average_delivery_time,south_indian_or_not,north_indian_or_not,fast_food_or_not,street_food,biryani_or_not,bakery_or_not,location,norm_rating,norm_price,norm_delivery_time,Score
24 Hours Bakery Shop,3.7,200,35,0,0,0,0,0,1,Indore,0.52,0.759493670886076,0.8423913043478262,0.6646161254815631
24 Royal Chinese Cafe,3.6,100,37,0,0,0,0,0,0,Vadodara,0.48,0.8860759493670886,0.8315217391304348,0.6666717116125482
24/2 Maggi Villa,4.0,200,31,0,0,1,0,0,0,Meerut,0.6399999999999999,0.759493670886076,0.8641304347826086,0.7311378646119978
24/7 Food Ex,3.9,50,31,0,1,1,1,1,0,Bhopal,0.5999999999999999,0.9493670886075949,0.8641304347826086,0.7491125481563016
24Seven,4.0,250,42,0,1,1,1,0,0,NCR,0.6399999999999999,0.6962025316455696,0.8043478260869565,0.7005448541552007
24Seven,4.0,250,44,0,1,1,1,0,0,Delhi NCR,0.6399999999999999,0.6962025316455696,0.7934782608695652,0.6972839845899834
25 Rice Bowls,4.3,350,27,0,1,0,0,0,0,Ludhiana,0.7599999999999998,0.5696202531645569,0.8858695652173914,0.7596849201981286
28 Street Jam Cafe,3.6,200,43,0,0,1,0,0,0,Guwahati,0.48,0.759493670886076,0.7989130434782609,0.6315726472206935
29 States,3.4,150,24,0,1,0,0,0,0,Bhopal,0.3999999999999999,0.8227848101265822,0.9021739130434783,0.6352091359383598
2ND Wife,4.2,250,28,0,1,1,0,0,0,Agra,0.72,0.6962025316455696,0.8804347826086957,0.7633709411117225
2o2 Di Restro Cafe,3.9,150,37,0,1,1,0,0,0,Indore,0.5999999999999999,0.8227848101265822,0.8315217391304348,0.7140134837644468
3 Coins,4.4,450,30,0,0,0,0,0,0,Nellore,0.8,0.4430379746835442,0.8695652173913043,0.7494771601541002
3 Hill Cart Road- Jhale Jhole Ambole,4.2,100,34,0,0,0,0,0,0,Siliguri,0.72,0.8860759493670886,0.8478260869565217,0.7915630159603742
3 K Resorts,3.8,400,43,0,1,0,0,1,0,Ludhiana,0.5599999999999998,0.5063291139240507,0.7989130434782609,0.6209397358282883
3 Mom's Kitchen,4.3,50,38,0,1,0,0,0,0,Indore,0.7599999999999998,0.9493670886075949,0.8260869565217391,0.8176995046780406
3 Monkey's Cafe,4.1,150,32,0,0,1,0,0,0,Coimbatore,0.6799999999999997,0.8227848101265822,0.8586956521739131,0.7621656576774902
3 Not 3 Ice Cream Cafe,4.2,200,25,0,0,0,0,0,0,Chandigarh,0.72,0.759493670886076,0.8967391304347826,0.7809204733076499
3 Peg Bar & Restaurant,4.0,250,19,0,0,0,0,0,0,Jamshedpur,0.6399999999999999,0.6962025316455696,0.9293478260869565,0.7380448541552008
3 Star Bakery,4.5,150,37,0,0,1,0,0,1,Warangal,0.8399999999999999,0.8227848101265822,0.8315217391304348,0.8340134837644468
3 Star Sweets Bakery Restaurant,4.3,100,35,0,0,1,0,0,1,Warangal,0.7599999999999998,0.8860759493670886,0.8423913043478262,0.8099325811777656
3 Story,4.0,100,40,0,1,1,0,0,0,Surat,0.6399999999999999,0.8860759493670886,0.8152173913043479,0.741780407264722
3 Way Adda,3.5,250,42,0,0,0,1,0,0,Guwahati,0.43999999999999995,0.6962025316455696,0.8043478260869565,0.6005448541552009
3 Way Point,3.9,250,48,0,0,0,0,1,0,Guwahati,0.5999999999999999,0.6962025316455696,0.7717391304347826,0.6707622454595487
3 Way Restaurant & Cafe,3.4,250,37,0,0,0,0,0,0,Allahabad,0.3999999999999999,0.6962025316455696,0.8315217391304348,0.5886970280682443
30 Cordon Bleu,4.3,100,31,0,1,1,0,0,0,Dehradun,0.7599999999999998,0.8860759493670886,0.8641304347826086,0.8164543203082002
'-301°F! & Urban Waffle,4.0,100,40,0,0,0,0,0,0,Ranchi,0.6399999999999999,0.8860759493670886,0.8152173913043479,0.741780407264722
31 Burgers,3.4,150,24,0,0,1,0,0,0,Lucknow,0.3999999999999999,0.8227848101265822,0.9021739130434783,0.6352091359383598
33 Eat Street,2.9,200,37,0,0,0,0,1,0,Guwahati,0.19999999999999996,0.759493670886076,0.8315217391304348,0.5013552559163457
33 Park Street By Junction,4.1,150,27,0,1,0,0,1,0,Jamshedpur,0.6799999999999997,0.8227848101265822,0.8858695652173914,0.7703178315905337
34 Chowringhee Lane,3.7,100,39,0,0,0,0,0,0,Bhopal,0.52,0.8860759493670886,0.8206521739130435,0.6834108420473308
34 Chowringhee Lane,3.7,150,46,0,0,1,0,0,0,Delhi NCR,0.52,0.8227848101265822,0.782608695652174,0.6593395707209686
34 Chowringhee Lane,3.7,300,37,0,0,1,0,0,0,NCR,0.52,0.6329113924050633,0.8315217391304348,0.6360388002201431
34 Chowringhee Lane,3.8,100,30,0,0,0,0,0,0,Chandigarh,0.5599999999999998,0.8860759493670886,0.8695652173913043,0.7180847550908089
34 Chowringhee Lane,3.8,150,37,0,0,0,0,0,0,Ludhiana,0.5599999999999998,0.8227848101265822,0.8315217391304348,0.6940134837644468
34 Chowringhee Lane,3.9,200,27,0,0,0,0,0,0,Dehradun,0.5999999999999999,0.759493670886076,0.8858695652173914,0.7176596037424325
34 Chowringhee Lane,4.2,100,46,0,0,1,0,0,0,Rishikesh,0.72,0.8860759493670886,0.782608695652174,0.7719977985690698
34 Stairs,4.2,150,29,1,1,0,0,0,0,Allahabad,0.72,0.8227848101265822,0.875,0.7870569620253165
34th August,3.5,250,30,0,0,0,0,0,0,Jalandhar,0.43999999999999995,0.6962025316455696,0.8695652173913043,0.6201100715465052
36 China Town,3.3,250,23,0,0,0,0,0,0,Amravati,0.3599999999999999,0.6962025316455696,0.907608695652174,0.5915231150247661
36 China Town,3.7,10,41,0,0,0,0,0,0,NCR,0.52,1.0,0.8097826086956522,0.7029347826086956
37 Street Affair,4.1,250,55,0,1,1,0,0,0,Guwahati,0.6799999999999997,0.6962025316455696,0.7336956521739131,0.6993492019812877
37 The Central,4.3,300,44,0,1,1,0,1,0,Shimla,0.7599999999999998,0.6329113924050633,0.7934782608695652,0.7446257567418821
38 Street,4.1,100,27,0,0,1,0,0,0,Chandigarh,0.6799999999999997,0.8860759493670886,0.8858695652173914,0.782976059438635
3B Tea,3.5,150,29,0,0,0,0,0,0,Vadodara,0.43999999999999995,0.8227848101265822,0.875,0.6470569620253164
3C's Cafe,4.0,100,29,0,0,1,0,0,0,Agra,0.6399999999999999,0.8860759493670886,0.875,0.7597151898734178
3C's Shake Time,4.0,150,30,0,0,0,0,0,0,Agra,0.6399999999999999,0.8227848101265822,0.8695652173913043,0.7454265272427076
3D FoodZ,4.0,250,23,0,1,1,0,0,0,Amritsar,0.6399999999999999,0.6962025316455696,0.907608695652174,0.731523115024766
3Monkeys,4.0,250,45,0,1,1,0,1,0,Dehradun,0.6399999999999999,0.6962025316455696,0.7880434782608696,0.6956535498073747
3rd Milestone Restaurant,4.0,150,37,0,1,1,0,0,0,Meerut,0.6399999999999999,0.8227848101265822,0.8315217391304348,0.7340134837644469
3Seventy Bistro,4.2,200,47,0,0,1,0,0,0,Surat,0.72,0.759493670886076,0.7771739130434783,0.7450509080902586
3Seventy Kitchen,4.2,150,38,0,1,0,0,0,0,Surat,0.72,0.8227848101265822,0.8260869565217391,0.7723830489818382
3T Foodrinks,4.0,100,37,0,1,1,0,1,0,Patna,0.6399999999999999,0.8860759493670886,0.8315217391304348,0.7466717116125481
4 Chef - AIIMS,4.3,100,33,0,1,1,0,0,0,Rishikesh,0.7599999999999998,0.8860759493670886,0.8532608695652174,0.8131934507429828
4 Chef Cafe & Snack Bar,3.5,100,35,1,1,0,1,0,0,Rishikesh,0.43999999999999995,0.8860759493670886,0.8423913043478262,0.6499325811777655
4 Chili's Kitchen,4.1,300,36,0,1,0,0,1,0,Hyderabad,0.6799999999999997,0.6329113924050633,0.8369565217391305,0.7176692350027516
4 Mealer,4.1,200,43,0,0,1,0,0,0,Lucknow,0.6799999999999997,0.759493670886076,0.7989130434782609,0.7315726472206933
4 Seasons,4.1,350,65,0,1,0,0,1,0,Hyderabad,0.6799999999999997,0.5696202531645569,0.6793478260869565,0.6577283984589981
4 seasons - The Cafe Restro,4.0,150,42,0,1,0,0,0,0,Guwahati,0.6399999999999999,0.8227848101265822,0.8043478260869565,0.7258613098514033
4 Seasons Bakery & Restaurant,4.3,200,19,0,1,0,0,1,1,Visakhapatnam,0.7599999999999998,0.759493670886076,0.9293478260869565,0.810703082003302
